Loan_ID,Borrower_ID,Sector,Exposure_INR_Cr,Maturity_Years,Interest_Rate,LGD
10001,1,Steel & Cement,51.749816999212605,6.393693583057498,0.09207051393733277,0.45
10002,2,Pharma,55.022576077763865,5.6233706969377435,0.08480380415173794,0.45
10003,3,IT Services,113.09467838521913,3.5936607336357653,0.10846719079067141,0.45
10004,4,Infra & Roads,230.63551521403875,1.058179220107395,0.08059815408407112,0.45
10005,5,Power (Thermal),444.2118336543178,5.466152997107326,0.08508596926557999,0.45
10006,6,Power (Thermal),56.609977986357634,3.570633897060188,0.12845755217377852,0.45
10007,7,Power (Thermal),890.0042898328024,7.611474706394816,0.1262884006915764,0.45
10008,8,Pharma,107.195222214503,1.2155163874343513,0.13490832922429377,0.45
10009,9,Infra & Roads,144.65610658068013,6.263450301752118,0.13127092615464497,0.45
10010,10,IT Services,60.5425234463041,9.473268137554589,0.1209905337943891,0.45
10011,11,Power (Thermal),8.092289442801949,2.5696834040034955,0.08313997143803978,0.45
10012,12,Pharma,428.7416296611027,5.244845416755358,0.12697091707919947,0.45
10013,13,IT Services,359.3197557163502,1.8227979263542435,0.13073064865043366,0.45
10014,14,Power (Thermal),105.89064720332892,6.631137210352174,0.12794492874631727,0.45
10015,15,Power (Thermal),160.83658679279856,5.954785125366031,0.11050874211848158,0.45
10016,16,Power (Thermal),275.6486537863606,4.666289717915491,0.0939741103189689,0.45
10017,17,Steel & Cement,22.75864269047339,5.692393193263671,0.13071979854132362,0.45
10018,18,Infra & Roads,78.66015890758088,9.069171926221092,0.12362976858440833,0.45
10019,19,Steel & Cement,384.95160132686107,2.766648720799603,0.1388456704633311,0.45
10020,20,Steel & Cement,32.94543447596105,1.203080605348125,0.08934155586535598,0.45
10021,21,Infra & Roads,211.0868201181687,8.75498396229191,0.0935398749831233,0.45
10022,22,Power (Thermal),29.13970958302388,6.1940537414911585,0.09270788899289016,0.45
10023,23,Steel & Cement,259.7490516391287,9.015926099156582,0.1275523860572802,0.45
10024,24,Steel & Cement,142.19938909217785,6.372507010718553,0.0912144377870071,0.45
10025,25,Infra & Roads,21.36687489984049,8.291449809637323,0.08399958978939837,0.45
10026,26,IT Services,600.4547142967135,4.8670602701963315,0.13991364839513773,0.45
10027,27,Power (Thermal),61.46636458258874,7.748739381594419,0.08148903268670896,0.45
10028,28,Infra & Roads,56.13149569519279,9.217373202008703,0.13011464360953195,0.45
10029,29,Infra & Roads,188.79901502649935,6.1491066734998565,0.10192201049303917,0.45
10030,30,Power (Thermal),588.9638575143726,2.627066355061416,0.13049692758546894,0.45
10031,31,Infra & Roads,43.860485718688416,3.4191785352717834,0.11327722947266872,0.45
10032,32,Power (Thermal),159.81482796827248,2.787801192076652,0.1340978737691816,0.45
10033,33,Power (Thermal),248.28562580332152,3.2217132483615964,0.1355715791848776,0.45
10034,34,Pharma,340.9468938741082,3.7577390441593272,0.08054589087684656,0.45
10035,35,Pharma,183.4110605474983,5.996204080778696,0.0845247305595673,0.45
10036,36,IT Services,95.54206226636042,6.291924665174495,0.09502152377425133,0.45
10037,37,Steel & Cement,54.97572560775818,4.83849772517675,0.1201589249818101,0.45
